customer_id,first_name,last_name,email,phone_number,birth_date
1,Carrie,King,jeffery39@hotmail.com,056-693-9768,1964-01-24
2,Megan,,aallen@parker.net,797-484-8948x968,1954-08-26
3,Christopher,Fernandez,shirley50@ware-hebert.net,,1938-10-14
4,Carlos,Lopez,,(461)858-9238,1964-05-16
5,Christopher,Davis,nguyenjason@yahoo.com,+1-577-474-3395x95818,1980-12-09
6,Maria,Espinoza,uhorne@hotmail.com,970.902.1380x87292,1983-02-01
7,Katie,Stone,,,
8,Cameron,Stevens,,(536)104-0978,1962-10-22
9,Denise,Stone,george61@patel.biz,580-219-4682,1990-03-03
10,Kathryn,Harris,williamstaylor@kelly.com,420.659.9645x34765,1990-09-07
11,Michael,,jose20@silva-summers.info,983.605.6039x75893,1999-01-10
12,Richard,Ramirez,matthew63@dunn.org,737-242-4862,1939-08-16
13,Michelle,Austin,,,1944-09-13
14,Sarah,Gutierrez,kellywilson@randolph.com,+1-381-326-8379x90921,1960-07-20
15,,Good,larajacob@yahoo.com,+1-937-260-6964x2008,1938-01-05
16,Douglas,Osborne,bowmanjeffrey@hughes.org,+1-832-903-5996,1985-02-22
17,Christopher,Gomez,brittany53@gmail.com,983-313-9051x475,1996-10-31
18,Jaime,Juarez,scott02@shaw.biz,+1-126-724-5406x586,1988-03-22
19,Christian,Trujillo,amandamiller@gillespie-nixon.com,439.946.5853,1994-09-11
20,Jacob,Santana,buckleyjeff@yahoo.com,(191)393-2664x120,1973-11-26
21,Dawn,Griffin,kathryn48@hotmail.com,301.152.7847x903,1934-01-17
22,Ann,Bender,,183.685.7543x52728,1986-04-04
23,Jonathan,Robbins,trujilloashley@yahoo.com,872-122-9389,
24,Jerry,Young,zjohnson@johnson.com,+1-569-304-0234,1999-11-26
25,Emily,Pope,wesley88@hotmail.com,(008)944-2224x34255,1998-10-01
26,Roy,Larson,micheal78@hotmail.com,,1995-08-09
27,Rachel,Huffman,bjones@freeman.com,4839049739,1984-08-16
28,Jill,Palmer,charles24@yahoo.com,444-668-5228,1963-06-04
29,Joshua,Berger,joshua52@stewart.com,815-827-9334x009,1935-01-08
30,James,Blanchard,barbarafloyd@schultz.com,001-139-805-2830,1992-11-18
31,Amy,Rodriguez,michael13@gmail.com,001-175-301-0057x4410,1996-02-14
32,Maria,Wise,burgesslisa@yahoo.com,(148)981-8817x1221,
33,Julie,Wong,,001-003-017-1512x8235,1953-09-01
34,Christine,Wells,woodsmichael@gmail.com,842.067.3925x42386,1965-02-22
35,James,Peters,aguilarsandra@yahoo.com,+1-114-277-0033,1941-02-25
36,Jessica,Grant,ashley33@yahoo.com,(306)023-3247x3141,
37,Jacob,,jareddominguez@dillon-smith.com,099-583-4117x5072,1943-07-03
38,Hannah,Thomas,ericksoncrystal@hotmail.com,916.373.8467x5187,1967-05-03
39,Lauren,Mccullough,kristen18@hanson.com,153.432.5540x30872,1978-12-14
40,John,Boyd,,+1-706-317-0349x71826,1954-05-27
41,George,Irwin,sarah66@matthews.biz,(558)657-1447,1981-07-30
42,Jason,,ksellers@cannon-lambert.com,354.104.5891x6615,1951-12-17
43,Angela,Bryant,,718.078.3714x8659,1973-01-22
44,Sara,Keller,frazierjohn@walton-morrison.org,,1974-06-15
45,Charles,Sanchez,clarkdestiny@gmail.com,553.623.7665x69146,1976-01-25
46,Emily,Miller,richard17@arias-bartlett.com,(887)516-2627,1963-03-25
47,April,Blackwell,zkelley@gmail.com,+1-443-234-5369x686,1980-03-20
48,Douglas,Pham,stacy90@gmail.com,4117554129,2002-06-22
49,Kendra,Green,,+1-014-844-9852,1962-02-17
50,Justin,Rice,teresa07@gmail.com,001-150-035-7649x180,1950-04-22
51,Mary,Vincent,andrew57@yahoo.com,(320)309-4693,1969-03-16
52,,Keller,millsrobert@gmail.com,001-411-605-9786,1968-06-08
53,Gregory,Dodson,mcculloughtodd@perez-knight.com,738.106.9585x623,1975-09-05
54,Laura,Cooper,nicole59@gmail.com,586-079-7263,1973-11-15
55,Tina,James,rayrobert@gmail.com,,
56,Darlene,Roman,kevin76@gmail.com,+1-219-270-2719x64488,1995-06-30
57,Wendy,Fields,scott33@robertson.info,001-582-226-9434x2720,
58,Jorge,Bryant,marksparks@adams.info,161-283-6707,1983-01-26
